fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time
Anthony Smith,Devin Clark,"November 28, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,1,1,1,0,1,0,win,Anthony Smith,Light Heavyweight,SUB Triangle Choke,1,2:34
Miguel Baeza,Takashi Sato,"November 28, 2020","Las Vegas, Nevada, USA",Dan Miragliotta,0,0,40,15,1,0,1,0,win,Miguel Baeza,Welterweight,SUB Arm Triangle,2,4:28
Parker Porter,Josh Parisian,"November 28, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,126,114,2,0,1,0,win,Parker Porter,Heavyweight,U-DEC,3,5:00
Bill Algeo,Spike Carlyle,"November 28, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,70,23,1,4,0,1,win,Bill Algeo,Featherweight,U-DEC,3,5:00
Norma Dumont,Ashlee Evans-Smith,"November 28, 2020","Las Vegas, Nevada, USA",Jason Herzog,1,0,94,42,2,0,0,0,win,Norma Dumont,Women's Bantamweight,U-DEC,3,5:00
Jonathan Pearce,Kai Kamaka,"November 28, 2020","Las Vegas, Nevada, USA",Dan Miragliotta,0,0,51,47,5,1,1,1,win,Jonathan Pearce,Featherweight,KO/TKO Punches,2,4:28
Anderson Dos Santos,Martin Day,"November 28, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,11,9,1,1,1,0,win,Anderson Dos Santos,Bantamweight,SUB Guillotine Choke,1,4:35
Gina Mazany,Rachael Ostovich,"November 28, 2020","Las Vegas, Nevada, USA",Mark Smith,1,0,72,41,7,0,1,0,win,Gina Mazany,Women's Flyweight,KO/TKO Kick,3,4:10
Sumudaerji,Malcolm Gordon,"November 28, 2020","Las Vegas, Nevada, USA",Dan Miragliotta,1,0,9,0,0,0,0,0,win,Sumudaerji,Flyweight,KO/TKO Punches,1,0:44
Nate Maness,Luke Sanders,"November 28, 2020","Las Vegas, Nevada, USA",Jason Herzog,1,0,33,55,1,0,1,0,win,Nate Maness,Catch Weight,SUB Rear Naked Choke,2,2:29
Deiveson Figueiredo,Alex Perez,"November 21, 2020","Las Vegas, Nevada, USA",Marc Goddard,0,0,5,6,0,0,1,0,win,Deiveson Figueiredo,Flyweight,SUB Guillotine Choke,1,1:57
Valentina Shevchenko,Jennifer Maia,"November 21, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,62,36,5,1,0,0,win,Valentina Shevchenko,Women's Flyweight,U-DEC,5,5:00
Tim Means,Mike Perry,"November 21, 2020","Las Vegas, Nevada, USA",Marc Goddard,0,0,128,64,0,1,0,2,win,Tim Means,Welterweight,U-DEC,3,5:00
Katlyn Cerminara,Cynthia Calvillo,"November 21, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,69,60,0,1,0,0,win,Katlyn Cerminara,Women's Flyweight,U-DEC,3,5:00
Paul Craig,Mauricio Rua,"November 21, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,29,10,4,0,0,0,win,Paul Craig,Light Heavyweight,KO/TKO Punches,2,3:36
Brandon Moreno,Brandon Royval,"November 21, 2020","Las Vegas, Nevada, USA",Marc Goddard,0,0,16,17,2,0,2,0,win,Brandon Moreno,Flyweight,KO/TKO Punches,1,4:59
Joaquin Buckley,Jordan Wright,"November 21, 2020","Las Vegas, Nevada, USA",Herb Dean,2,0,43,18,0,0,0,0,win,Joaquin Buckley,Middleweight,KO/TKO Punches,2,0:18
Antonina Shevchenko,Ariane da Silva,"November 21, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,0,39,15,1,0,0,0,win,Antonina Shevchenko,Women's Flyweight,KO/TKO Punches,2,4:33
Nicolas Dalby,Daniel Rodriguez,"November 21, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,50,83,0,0,0,0,win,Nicolas Dalby,Welterweight,U-DEC,3,5:00
Alan Jouban,Jared Gooden,"November 21, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,0,168,100,0,1,2,0,win,Alan Jouban,Welterweight,U-DEC,3,5:00
Kyle Daukaus,Dustin Stoltzfus,"November 21, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,64,32,2,0,1,0,win,Kyle Daukaus,Middleweight,U-DEC,3,5:00
Sasha Palatnikov,Louis Cosce,"November 21, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,1,125,99,1,1,0,0,win,Sasha Palatnikov,Welterweight,KO/TKO Punches,3,2:47
Rafael Dos Anjos,Paul Felder,"November 14, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,92,98,6,1,0,0,win,Rafael Dos Anjos,Lightweight,S-DEC,5,5:00
Khaos Williams,Abdul Razak Alhassan,"November 14, 2020","Las Vegas, Nevada, USA",Mark Smith,1,0,5,2,0,0,0,0,win,Khaos Williams,Welterweight,KO/TKO Punch,1,0:30
Ashley Yoder,Miranda Granger,"November 14, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,26,33,2,0,3,0,win,Ashley Yoder,Women's Strawweight,U-DEC,3,5:00
Sean Strickland,Brendan Allen,"November 14, 2020","Las Vegas, Nevada, USA",Herb Dean,1,0,94,51,1,0,0,0,win,Sean Strickland,Catch Weight,KO/TKO Punches,2,1:32
Cory McKenna,Kay Hansen,"November 14, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,57,67,0,2,0,2,win,Cory McKenna,Women's Strawweight,U-DEC,3,5:00
Kanako Murata,Randa Markos,"November 14, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,29,29,4,0,2,0,win,Kanako Murata,Women's Strawweight,U-DEC,3,5:00
Tony Gravely,Geraldo de Freitas,"November 14, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,0,49,76,7,1,0,0,win,Tony Gravely,Bantamweight,S-DEC,3,5:00
Alex Morono,Rhys McKee,"November 14, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,176,124,3,0,0,0,win,Alex Morono,Welterweight,U-DEC,3,5:00
Don'Tale Mayes,Roque Martinez,"November 14, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,0,59,58,1,1,0,0,win,Don'Tale Mayes,Heavyweight,U-DEC,3,5:00
Glover Teixeira,Thiago Santos,"November 07, 2020","Las Vegas, Nevada, USA",Herb Dean,0,1,46,40,4,0,2,0,win,Glover Teixeira,Light Heavyweight,SUB Rear Naked Choke,3,1:49
Andrei Arlovski,Tanner Boser,"November 07, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,34,68,0,0,0,0,win,Andrei Arlovski,Heavyweight,U-DEC,3,5:00
Raoni Barcelos,Khalid Taha,"November 07, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,120,49,2,0,1,0,win,Raoni Barcelos,Bantamweight,U-DEC,3,5:00
Giga Chikadze,Jamey Simmons,"November 07, 2020","Las Vegas, Nevada, USA",Herb Dean,1,0,8,2,0,0,0,0,win,Giga Chikadze,Featherweight,KO/TKO Kick,1,3:51
Yan Xiaonan,Claudia Gadelha,"November 07, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,74,36,0,2,0,0,win,Yan Xiaonan,Women's Strawweight,U-DEC,3,5:00
Trevin Giles,Bevon Lewis,"November 07, 2020","Las Vegas, Nevada, USA",Mark Smith,2,0,38,26,1,0,0,0,win,Trevin Giles,Middleweight,KO/TKO Punches,3,1:26
Alexandr Romanov,Marcos Rogerio de Lima,"November 07, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,6,18,2,0,1,0,win,Alexandr Romanov,Heavyweight,SUB Forearm Choke,1,4:48
Darren Elkins,Eduardo Garagorri,"November 07, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,0,32,36,7,0,1,0,win,Darren Elkins,Featherweight,SUB Rear Naked Choke,3,2:22
Max Griffin,Ramiz Brahimaj,"November 07, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,74,45,0,0,0,0,win,Max Griffin,Welterweight,KO/TKO Elbow,3,2:03
Gustavo Lopez,Anthony Birchak,"November 07, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,0,26,17,2,0,1,0,win,Gustavo Lopez,Bantamweight,SUB Rear Naked Choke,1,2:43
Uriah Hall,Anderson Silva,"October 31, 2020","Las Vegas, Nevada, USA",Herb Dean,2,0,60,53,0,0,0,0,win,Uriah Hall,Middleweight,KO/TKO Punches,4,1:24
Bryce Mitchell,Andre Fili,"October 31, 2020","Las Vegas, Nevada, USA",Keith Peterson,0,0,46,27,7,0,1,0,win,Bryce Mitchell,Featherweight,U-DEC,3,5:00
Greg Hardy,Maurice Greene,"October 31, 2020","Las Vegas, Nevada, USA",Herb Dean,1,0,46,17,1,0,0,0,win,Greg Hardy,Heavyweight,KO/TKO Punches,2,1:12
Kevin Holland,Charlie Ontiveros,"October 31, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,11,2,2,0,0,0,win,Kevin Holland,Middleweight,SUB Injury,1,2:39
Thiago Moises,King Green,"October 31, 2020","Las Vegas, Nevada, USA",Keith Peterson,0,0,42,85,2,2,1,0,win,Thiago Moises,Lightweight,U-DEC,3,5:00
Alexander Hernandez,Chris Gruetzemacher,"October 31, 2020","Las Vegas, Nevada, USA",Mark Smith,1,0,29,8,0,0,0,0,win,Alexander Hernandez,Lightweight,KO/TKO Punches,1,1:46
Adrian Yanez,Victor Rodriguez,"October 31, 2020","Las Vegas, Nevada, USA",Herb Dean,1,0,17,6,0,0,0,0,win,Adrian Yanez,Bantamweight,KO/TKO Kick,1,2:46
Sean Strickland,Jack Marshman,"October 31, 2020","Las Vegas, Nevada, USA",Keith Peterson,0,0,106,48,0,0,0,0,win,Sean Strickland,Middleweight,U-DEC,3,5:00
Jason Witt,Cole Williams,"October 31, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,20,1,2,0,1,0,win,Jason Witt,Welterweight,SUB Arm Triangle,2,2:09
Dustin Jacoby,Justin Ledet,"October 31, 2020","Las Vegas, Nevada, USA",Chris Tognoni,2,0,22,10,0,0,0,0,win,Dustin Jacoby,Light Heavyweight,KO/TKO Punch,1,2:38
Miles Johns,Kevin Natividad,"October 31, 2020","Las Vegas, Nevada, USA",Chris Tognoni,1,0,48,33,0,0,0,0,win,Miles Johns,Bantamweight,KO/TKO Punch,3,2:51
Khabib Nurmagomedov,Justin Gaethje,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,0,0,26,29,2,0,1,0,win,Khabib Nurmagomedov,Lightweight,SUB Triangle Choke,2,1:34
Robert Whittaker,Jared Cannonier,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Anders Ohlsson,1,0,69,53,0,0,0,0,win,Robert Whittaker,Middleweight,U-DEC,3,5:00
Alexander Volkov,Walt Harris,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,45,16,0,0,0,0,win,Alexander Volkov,Heavyweight,KO/TKO Kick,2,1:15
Phil Hawes,Jacob Malkoun,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,1,0,7,0,0,0,0,0,win,Phil Hawes,Middleweight,KO/TKO Punches,1,0:18
Lauren Murphy,Liliya Shakirova,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,22,23,1,0,1,0,win,Lauren Murphy,Women's Flyweight,SUB Rear Naked Choke,2,3:31
Magomed Ankalaev,Ion Cutelaba,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Anders Ohlsson,2,0,21,11,0,0,0,0,win,Magomed Ankalaev,Light Heavyweight,KO/TKO Punch,1,4:19
Tai Tuivasa,Stefan Struve,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,1,0,27,13,0,0,0,0,win,Tai Tuivasa,Heavyweight,KO/TKO Punches,1,4:59
Casey Kenney,Nathaniel Wood,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Anders Ohlsson,0,0,123,136,2,0,0,0,win,Casey Kenney,Catch Weight,U-DEC,3,5:00
Shavkat Rakhmonov,Alex Oliveira,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,13,9,0,0,1,0,win,Shavkat Rakhmonov,Welterweight,SUB Guillotine Choke,1,4:40
Da Woon Jung,Sam Alvey,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Anders Ohlsson,1,0,56,59,0,0,0,0,"draw


draw",Sam Alvey,Light Heavyweight,S-DEC,3,5:00
Miranda Maverick,Liana Jojua,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,49,30,0,0,0,0,win,Miranda Maverick,Women's Flyweight,KO/TKO,1,5:00
Joel Alvarez,Alexander Yakovlev,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,0,0,4,1,0,1,2,0,win,Joel Alvarez,Lightweight,SUB Armbar,1,3:00
Brian Ortega,Chan Sung Jung,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,2,0,127,62,3,0,0,0,win,Brian Ortega,Featherweight,U-DEC,5,5:00
Jessica Andrade,Katlyn Cerminara,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,1,0,28,19,2,0,0,0,win,Jessica Andrade,Women's Flyweight,KO/TKO Punch,1,4:55
Jimmy Crute,Modestas Bukauskas,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Anders Ohlsson,2,0,17,7,0,0,0,0,win,Jimmy Crute,Light Heavyweight,KO/TKO Punches,1,2:01
James Krause,Claudio Silva,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,94,64,0,2,0,0,win,James Krause,Welterweight,U-DEC,3,5:00
Jonathan Martinez,Thomas Almeida,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Anders Ohlsson,0,0,73,64,0,0,0,0,win,Jonathan Martinez,Featherweight,U-DEC,3,5:00
Guram Kutateladze,Mateusz Gamrot,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,1,0,37,52,0,5,0,0,win,Guram Kutateladze,Lightweight,S-DEC,3,5:00
Gillian Robertson,Poliana Botelho,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Anders Ohlsson,0,0,57,22,3,0,0,0,win,Gillian Robertson,Women's Flyweight,U-DEC,3,5:00
JunYong Park,John Phillips,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,10,5,4,0,0,0,win,JunYong Park,Middleweight,U-DEC,3,5:00
Fares Ziam,Jamie Mullarkey,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,47,20,1,5,0,0,win,Fares Ziam,Lightweight,U-DEC,3,5:00
Maxim Grishin,Gadzhimurad Antigulov,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Anders Ohlsson,0,0,34,12,1,1,0,0,win,Maxim Grishin,Light Heavyweight,KO/TKO Punches,2,4:58
Said Nurmagomedov,Mark Striegl,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,18,3,0,0,0,0,win,Said Nurmagomedov,Bantamweight,KO/TKO Punches,1,0:51
Cory Sandhagen,Marlon Moraes,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,1,0,38,14,0,1,0,0,win,Cory Sandhagen,Bantamweight,KO/TKO Kick,2,1:03
Edson Barboza,Makwan Amirkhani,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,2,0,32,11,0,3,1,0,win,Edson Barboza,Featherweight,U-DEC,3,5:00
Marcin Tybura,Ben Rothwell,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,94,89,1,0,0,0,win,Marcin Tybura,Heavyweight,U-DEC,3,5:00
Dricus Du Plessis,Markus Perez,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,1,0,26,14,0,0,0,0,win,Dricus Du Plessis,Middleweight,KO/TKO Punch,1,3:22
Tom Aspinall,Alan Baudot,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,16,3,1,0,0,0,win,Tom Aspinall,Heavyweight,KO/TKO Punches,1,1:35
Ilia Topuria,Youssef Zalal,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,0,0,13,17,5,0,5,1,win,Ilia Topuria,Featherweight,U-DEC,3,5:00
Tom Breese,KB Bhullar,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,1,0,17,2,0,0,0,0,win,Tom Breese,Middleweight,KO/TKO Punch,1,1:42
Chris Daukaus,Rodrigo Nascimento,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,2,0,13,1,0,0,0,0,win,Chris Daukaus,Heavyweight,KO/TKO Punches,1,0:45
Joaquin Buckley,Impa Kasanganay,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,1,0,29,28,1,0,0,0,win,Joaquin Buckley,Middleweight,KO/TKO Spinning Back Kick,2,2:03
Tony Kelley,Ali AlQaisi,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,23,29,0,5,4,1,win,Tony Kelley,Bantamweight,U-DEC,3,5:00
Giga Chikadze,Omar Morales,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,1,0,65,34,0,0,0,0,win,Giga Chikadze,Featherweight,U-DEC,3,5:00
Tracy Cortez,Stephanie Egger,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,0,0,20,10,3,1,0,0,win,Tracy Cortez,Women's Bantamweight,U-DEC,3,5:00
Tagir Ulanbekov,Bruno Silva,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,46,47,5,4,0,0,win,Tagir Ulanbekov,Flyweight,U-DEC,3,5:00
Holly Holm,Irene Aldana,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,154,69,5,0,0,0,win,Holly Holm,Women's Bantamweight,U-DEC,5,5:00
Carlos Felipe,Yorgan De Castro,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,0,0,78,48,0,0,0,0,win,Carlos Felipe,Heavyweight,U-DEC,3,5:00
Germaine de Randamie,Julianna Pena,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,0,0,37,27,0,3,2,0,win,Germaine de Randamie,Women's Bantamweight,SUB Guillotine Choke,3,3:25
Kyler Phillips,Cameron Else,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,32,11,2,0,0,0,win,Kyler Phillips,Bantamweight,KO/TKO Elbows,2,0:44
Dusko Todorovic,Dequan Townsend,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,0,0,85,13,1,0,0,0,win,Dusko Todorovic,Middleweight,KO/TKO Punches,2,3:15
Carlos Condit,Court McGee,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,1,0,88,84,0,0,0,0,win,Carlos Condit,Welterweight,U-DEC,3,5:00
Charles Jourdain,Josh Culibao,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,0,1,44,46,0,0,3,0,"draw


draw",Josh Culibao,Featherweight,S-DEC,3,5:00
Nassourdine Imavov,Jordan Williams,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,0,0,68,30,1,0,4,0,win,Nassourdine Imavov,Middleweight,U-DEC,3,5:00
Loma Lookboonmee,Jinh Yu Frey,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,80,26,0,1,0,0,win,Loma Lookboonmee,Women's Strawweight,U-DEC,3,5:00
Casey Kenney,Alatengheili,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,0,0,109,46,0,0,0,0,win,Casey Kenney,Bantamweight,U-DEC,3,5:00
Luigi Vendramini,Jessin Ayari,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,1,0,13,2,0,0,0,0,win,Luigi Vendramini,Lightweight,KO/TKO Kick,1,1:12
Israel Adesanya,Paulo Costa,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,1,0,55,12,0,0,0,0,win,Israel Adesanya,Middleweight,KO/TKO Punch,2,3:59
Jan Blachowicz,Dominick Reyes,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,1,0,41,21,0,0,0,0,win,Jan Blachowicz,Light Heavyweight,KO/TKO Punch,2,4:36
Brandon Royval,Kai Kara-France,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,2,1,39,22,0,0,1,0,win,Brandon Royval,Flyweight,SUB Guillotine Choke,2,0:48
Ketlen Vieira,Sijara Eubanks,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,0,0,68,69,2,0,0,0,win,Ketlen Vieira,Women's Bantamweight,U-DEC,3,5:00
Hakeem Dawodu,Zubaira Tukhugov,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,0,0,69,35,0,1,0,0,win,Hakeem Dawodu,Featherweight,S-DEC,3,5:00
Brad Riddell,Alex Da Silva,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,67,54,1,3,0,1,win,Brad Riddell,Lightweight,U-DEC,3,5:00
Jake Matthews,Diego Sanchez,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,1,0,72,25,1,0,0,0,win,Jake Matthews,Welterweight,U-DEC,3,5:00
Ludovit Klein,Shane Young,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,1,0,9,4,0,0,0,0,win,Ludovit Klein,Featherweight,KO/TKO Kick,1,1:16
William Knight,Aleksa Camur,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lukasz Bosacki,0,0,38,17,4,1,1,0,win,William Knight,Light Heavyweight,U-DEC,3,5:00
Juan Espino,Jeff Hughes,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Kevin Sataki,0,0,10,0,5,0,1,0,win,Juan Espino,Heavyweight,SUB Scarf Hold,1,3:48
Danilo Marques,Khadis Ibragimov,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,0,0,16,19,4,0,0,1,win,Danilo Marques,Light Heavyweight,U-DEC,3,5:00
Colby Covington,Tyron Woodley,"September 19, 2020","Las Vegas, Nevada, USA",Dan Miragliotta,0,0,78,34,3,1,0,0,win,Colby Covington,Welterweight,KO/TKO,5,1:19
Donald Cerrone,Niko Price,"September 19, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,113,150,0,0,0,0,"nc


nc",Niko Price,Welterweight,Overturned,3,5:00
Khamzat Chimaev,Gerald Meerschaert,"September 19, 2020","Las Vegas, Nevada, USA",Mark Smith,1,0,4,0,0,0,0,0,win,Khamzat Chimaev,Middleweight,KO/TKO Punch,1,0:17
Johnny Walker,Ryan Spann,"September 19, 2020","Las Vegas, Nevada, USA",Dan Miragliotta,0,2,26,7,0,2,0,0,win,Johnny Walker,Light Heavyweight,KO/TKO Punches,1,2:43
Mackenzie Dern,Randa Markos,"September 19, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,9,3,0,0,5,0,win,Mackenzie Dern,Women's Strawweight,SUB Armbar,1,3:44
Kevin Holland,Darren Stewart,"September 19, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,74,57,0,3,0,0,win,Kevin Holland,Middleweight,S-DEC,3,5:00
David Dvorak,Jordan Espinosa,"September 19, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,68,50,0,0,0,0,win,David Dvorak,Flyweight,U-DEC,3,5:00
Damon Jackson,Mirsad Bektic,"September 19, 2020","Las Vegas, Nevada, USA",Dan Miragliotta,0,0,12,13,0,7,7,0,win,Damon Jackson,Featherweight,SUB Guillotine Choke,3,1:21
Mayra Bueno Silva,Mara Romero Borella,"September 19, 2020","Las Vegas, Nevada, USA",Jason Herzog,0,0,2,6,0,1,1,0,win,Mayra Bueno Silva,Women's Flyweight,SUB Armbar,1,2:29
Jessica-Rose Clark,Sarah Alpar,"September 19, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,0,76,12,1,2,0,0,win,Jessica-Rose Clark,Women's Bantamweight,KO/TKO Knee,3,4:21
Darrick Minner,TJ Laramie,"September 19, 2020","Las Vegas, Nevada, USA",Dan Miragliotta,0,0,15,0,0,0,1,0,win,Darrick Minner,Featherweight,SUB Guillotine Choke,1,0:52
Randy Costa,Journey Newson,"September 19, 2020","Las Vegas, Nevada, USA",Mark Smith,1,0,4,1,0,0,0,0,win,Randy Costa,Bantamweight,KO/TKO Kick,1,0:41
Andre Ewell,Irwin Rivera,"September 19, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,0,123,81,0,1,0,0,win,Andre Ewell,Bantamweight,S-DEC,3,5:00
Tyson Nam,Jerome Rivera,"September 19, 2020","Las Vegas, Nevada, USA",Chris Tognoni,1,0,36,30,0,0,0,0,win,Tyson Nam,Bantamweight,KO/TKO Punches,2,0:34
Michelle Waterson-Gomez,Angela Hill,"September 12, 2020","Las Vegas, Nevada, USA",Marc Goddard,0,0,128,131,1,0,0,0,win,Michelle Waterson-Gomez,Women's Strawweight,S-DEC,5,5:00
Ottman Azaitar,Khama Worthy,"September 12, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,16,1,0,0,0,0,win,Ottman Azaitar,Lightweight,KO/TKO Punches,1,1:33
Roxanne Modafferi,Andrea Lee,"September 12, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,60,97,4,3,0,0,win,Roxanne Modafferi,Women's Flyweight,U-DEC,3,5:00
Ed Herman,Mike Rodriguez,"September 12, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,2,40,89,2,0,1,0,win,Ed Herman,Light Heavyweight,SUB Kimura,3,2:41
King Green,Alan Patrick,"September 12, 2020","Las Vegas, Nevada, USA",Herb Dean,0,0,61,19,4,1,0,0,win,King Green,Lightweight,U-DEC,3,5:00
Billy Quarantillo,Kyle Nelson,"September 12, 2020","Las Vegas, Nevada, USA",Marc Goddard,1,0,79,56,2,0,0,0,win,Billy Quarantillo,Featherweight,KO/TKO Punch,3,0:07
Sijara Eubanks,Julia Avila,"September 12, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,53,34,3,1,3,0,win,Sijara Eubanks,Women's Bantamweight,U-DEC,3,5:00
Roosevelt Roberts,Kevin Croom,"September 12, 2020","Las Vegas, Nevada, USA",Chris Tognoni,0,1,2,5,0,0,0,1,"nc


nc",Kevin Croom,Lightweight,Overturned Guillotine Choke,1,0:31
Alexandr Romanov,Roque Martinez,"September 12, 2020","Las Vegas, Nevada, USA",Mark Smith,0,0,55,7,4,0,2,0,win,Alexandr Romanov,Heavyweight,SUB Arm Triangle,2,4:22
